"key","dogstatsd_relevant","reason"
"apm_config.debugger_diagnostics_additional_endpoints","false","APM debugger diagnostics endpoints"
"apm_config.debugger_diagnostics_api_key","false","APM debugger diagnostics API key"
"apm_config.debugger_diagnostics_dd_url","false","APM debugger diagnostics URL"
"apm_config.decoder_timeout","false","APM trace decoder timeout, not DogStatsD"
"apm_config.decoders","false","APM trace decoder count, not DogStatsD"
"apm_config.default_env","false","APM default environment for traces"
"apm_config.disable_rare_sampler","false","APM rare trace sampler toggle"
"apm_config.enable_container_tags_buffer","false","APM container tags buffer, not DogStatsD"
"apm_config.enable_rare_sampler","false","APM rare trace sampler toggle"
"apm_config.enabled","false","APM subsystem enable/disable, not DogStatsD"
"apm_config.env","false","APM environment label, not DogStatsD"
"apm_config.error_sampling_enabled","false","APM error trace sampling toggle"
"apm_config.error_tracking_standalone","false","APM error tracking standalone mode"
"apm_config.error_tracking_standalone.enabled","false","APM error tracking standalone enable"
"apm_config.errors_per_second","false","APM error trace sampling rate"
"apm_config.extra_sample_rate","false","APM extra trace sample rate"
"apm_config.features","false","APM feature flags, not DogStatsD"
"apm_config.filter_tags","false","APM trace tag filtering, not DogStatsD"
"apm_config.filter_tags.reject","false","APM trace tag reject filter"
"apm_config.filter_tags.require","false","APM trace tag require filter"
"apm_config.filter_tags_regex","false","APM trace tag regex filtering"
"apm_config.filter_tags_regex.reject","false","APM trace tag regex reject filter"
"apm_config.filter_tags_regex.require","false","APM trace tag regex require filter"
"apm_config.ignore_resources","false","APM trace resource ignore list"
"apm_config.install_id","false","APM install ID metadata, not DogStatsD"
"apm_config.install_time","false","APM install time metadata, not DogStatsD"
"apm_config.install_type","false","APM install type metadata, not DogStatsD"
"apm_config.instrumentation","false","APM auto-instrumentation config"
"apm_config.instrumentation.disabled_namespaces","false","APM instrumentation namespace exclusions"
"apm_config.instrumentation.enabled","false","APM instrumentation config, not DogStatsD"
"apm_config.instrumentation.enabled_namespaces","false","APM instrumentation config, not DogStatsD"
"apm_config.instrumentation.injection_mode","false","APM instrumentation config, not DogStatsD"
"apm_config.instrumentation.injector_image_tag","false","APM instrumentation config, not DogStatsD"
"apm_config.instrumentation.lib_versions","false","APM instrumentation config, not DogStatsD"
"apm_config.instrumentation.targets","false","APM instrumentation config, not DogStatsD"
"apm_config.internal_profiling.enabled","false","APM internal profiling, not DogStatsD"
"apm_config.log_file","false","APM log file, not DogStatsD"
"apm_config.max_catalog_entries","false","APM catalog limit, not DogStatsD"
"apm_config.max_catalog_services","false","APM catalog limit, not DogStatsD"
"apm_config.max_connections","false","APM connection limit, not DogStatsD"
"apm_config.max_cpu_percent","false","APM CPU limit, not DogStatsD"
"apm_config.max_events_per_second","false","APM event rate limit, not DogStatsD"
"apm_config.max_memory","false","APM memory limit, not DogStatsD"
"apm_config.max_payload_size","false","APM payload size, not DogStatsD"
"apm_config.max_remote_traces_per_second","false","APM remote trace rate, not DogStatsD"
"apm_config.max_sender_retries","false","APM sender retries, not DogStatsD"
"apm_config.max_traces_per_second","false","APM trace rate limit, not DogStatsD"
"apm_config.mode","false","APM mode config, not DogStatsD"
"apm_config.obfuscation","false","APM trace obfuscation, not DogStatsD"
"apm_config.obfuscation.cache","false","APM obfuscation cache, not DogStatsD"
"apm_config.obfuscation.cache.enabled","false","APM obfuscation cache toggle, not DogStatsD"
"apm_config.obfuscation.cache.max_size","false","APM obfuscation cache size, not DogStatsD"
"apm_config.obfuscation.credit_cards","false","APM credit card obfuscation, not DogStatsD"
"apm_config.obfuscation.credit_cards.enabled","false","APM credit card obfuscation, not DogStatsD"
"apm_config.obfuscation.credit_cards.keep_values","false","APM credit card obfuscation, not DogStatsD"
"apm_config.obfuscation.credit_cards.luhn","false","APM credit card obfuscation, not DogStatsD"
"apm_config.obfuscation.elasticsearch","false","APM ES obfuscation, not DogStatsD"
"apm_config.obfuscation.elasticsearch.enabled","false","APM ES obfuscation, not DogStatsD"
"apm_config.obfuscation.elasticsearch.keep_values","false","APM ES obfuscation, not DogStatsD"
"apm_config.obfuscation.elasticsearch.obfuscate_sql_values","false","APM ES obfuscation, not DogStatsD"
"apm_config.obfuscation.es","false","APM ES obfuscation alias, not DogStatsD"
"apm_config.obfuscation.es.enabled","false","APM ES obfuscation alias, not DogStatsD"
"apm_config.obfuscation.es.keep_values","false","APM ES obfuscation alias, not DogStatsD"
"apm_config.obfuscation.es.obfuscate_sql_values","false","APM ES obfuscation alias, not DogStatsD"
"apm_config.obfuscation.http","false","APM HTTP obfuscation, not DogStatsD"
"apm_config.obfuscation.http.remove_path_digits","false","APM HTTP obfuscation, not DogStatsD"
"apm_config.obfuscation.http.remove_paths_with_digits","false","APM HTTP obfuscation, not DogStatsD"
"apm_config.obfuscation.http.remove_query_string","false","APM HTTP obfuscation, not DogStatsD"
"apm_config.obfuscation.memcached","false","APM memcached obfuscation, not DogStatsD"
"apm_config.obfuscation.memcached.enabled","false","APM trace obfuscation for memcached"
"apm_config.obfuscation.memcached.keep_command","false","APM trace obfuscation for memcached"
"apm_config.obfuscation.mongo","false","APM trace obfuscation for MongoDB"
"apm_config.obfuscation.mongo.enabled","false","APM trace obfuscation for MongoDB"
"apm_config.obfuscation.mongo.keep_values","false","APM trace obfuscation for MongoDB"
"apm_config.obfuscation.mongo.obfuscate_sql_values","false","APM trace obfuscation for MongoDB"
"apm_config.obfuscation.mongodb","false","APM trace obfuscation for MongoDB"
"apm_config.obfuscation.mongodb.enabled","false","APM trace obfuscation for MongoDB"
"apm_config.obfuscation.mongodb.keep_values","false","APM trace obfuscation for MongoDB"
"apm_config.obfuscation.mongodb.obfuscate_sql_values","false","APM trace obfuscation for MongoDB"
"apm_config.obfuscation.open_search","false","APM trace obfuscation for OpenSearch"
"apm_config.obfuscation.open_search.enabled","false","APM trace obfuscation for OpenSearch"
"apm_config.obfuscation.open_search.keep_values","false","APM trace obfuscation for OpenSearch"
"apm_config.obfuscation.open_search.obfuscate_sql_values","false","APM trace obfuscation for OpenSearch"
"apm_config.obfuscation.opensearch","false","APM trace obfuscation for OpenSearch"
"apm_config.obfuscation.opensearch.enabled","false","APM trace obfuscation for OpenSearch"
"apm_config.obfuscation.opensearch.keep_values","false","APM trace obfuscation for OpenSearch"
"apm_config.obfuscation.opensearch.obfuscate_sql_values","false","APM trace obfuscation for OpenSearch"
"apm_config.obfuscation.redis","false","APM trace obfuscation for Redis"
"apm_config.obfuscation.redis.enabled","false","APM trace obfuscation for Redis"
"apm_config.obfuscation.redis.remove_all_args","false","APM trace obfuscation for Redis"
"apm_config.obfuscation.remove_stack_traces","false","APM trace obfuscation stack trace removal"
"apm_config.obfuscation.sql","false","APM trace obfuscation for SQL queries"
"apm_config.obfuscation.sql.dbms","false","APM trace obfuscation SQL DBMS setting"
"apm_config.obfuscation.sql.dollar_quoted_func","false","APM trace obfuscation SQL dollar quoting"
"apm_config.obfuscation.sql.keep_sql_alias","false","APM trace obfuscation SQL alias setting"
"apm_config.obfuscation.sql.replace_digits","false","APM trace obfuscation SQL digit replace"
"apm_config.obfuscation.sql.table_names","false","APM trace obfuscation SQL table names"
"apm_config.obfuscation.sql_exec_plan","false","APM trace obfuscation for SQL exec plans"
"apm_config.obfuscation.sql_exec_plan.enabled","false","APM trace obfuscation for SQL exec plans"
"apm_config.obfuscation.sql_exec_plan.keep_values","false","APM trace obfuscation for SQL exec plans"
"apm_config.obfuscation.sql_exec_plan.obfuscate_sql_values","false","APM trace obfuscation for SQL exec plans"
"apm_config.obfuscation.sql_exec_plan_normalize","false","APM trace obfuscation exec plan normalize"
"apm_config.obfuscation.sql_exec_plan_normalize.enabled","false","APM trace obfuscation exec plan normalize"
"apm_config.obfuscation.sql_exec_plan_normalize.keep_values","false","APM trace obfuscation exec plan normalize"
"apm_config.obfuscation.sql_exec_plan_normalize.obfuscate_sql_values","false","APM trace obfuscation exec plan normalize"
"apm_config.obfuscation.valkey","false","APM trace obfuscation for Valkey"
"apm_config.obfuscation.valkey.enabled","false","APM trace obfuscation for Valkey"
"apm_config.obfuscation.valkey.remove_all_args","false","APM trace obfuscation for Valkey"
"apm_config.peer_service_aggregation","false","APM peer service aggregation setting"
"apm_config.peer_tags","false","APM peer tag config, not DogStatsD"
"apm_config.peer_tags_aggregation","false","APM peer tags aggregation, not DogStatsD"
"apm_config.probabilistic_sampler","false","APM trace sampling config, not DogStatsD"
"apm_config.probabilistic_sampler.enabled","false","APM probabilistic sampler toggle, not DogStatsD"
"apm_config.probabilistic_sampler.hash_seed","false","APM sampler hash seed, not DogStatsD"
"apm_config.probabilistic_sampler.sampling_percentage","false","APM sampling percentage, not DogStatsD"
"apm_config.profiling_additional_endpoints","false","APM profiling endpoints, not DogStatsD"
"apm_config.profiling_dd_url","false","APM profiling URL, not DogStatsD"
"apm_config.profiling_receiver_timeout","false","APM profiling receiver timeout, not DogStatsD"
"apm_config.receiver_enabled","false","APM trace receiver toggle, not DogStatsD"
"apm_config.receiver_port","false","APM trace receiver port, not DogStatsD"
"apm_config.receiver_socket","false","APM trace receiver socket, not DogStatsD"
"apm_config.receiver_timeout","false","APM trace receiver timeout, not DogStatsD"
"apm_config.replace_tags","false","APM tag replacement rules, not DogStatsD"
"apm_config.replace_tags.pattern","false","APM tag replacement pattern, not DogStatsD"
"apm_config.replace_tags.repl","false","APM tag replacement value, not DogStatsD"
"apm_config.send_all_internal_stats","false","APM internal stats toggle, not DogStatsD"
"apm_config.socket_activation.enabled","false","APM socket activation toggle, not DogStatsD"
"apm_config.socket_activation.handle_tcp_probe","false","APM socket activation TCP probe, not DogStatsD"
"apm_config.span_derived_primary_tags","false","APM span-derived primary tags, not DogStatsD"
"apm_config.sql_obfuscation_mode","false","APM SQL obfuscation mode, not DogStatsD"
"apm_config.stats_writer.connection_limit","false","APM stats writer conn limit, not DogStatsD"
"apm_config.stats_writer.queue_size","false","APM stats writer queue size, not DogStatsD"
"apm_config.symdb_additional_endpoints","false","APM symbol DB endpoints, not DogStatsD"
"apm_config.symdb_api_key","false","APM symbol DB API key, not DogStatsD"
"apm_config.symdb_dd_url","false","APM symbol DB URL, not DogStatsD"
"apm_config.sync_flushing","false","APM sync flushing toggle, not DogStatsD"
"apm_config.target_traces_per_second","false","APM target trace rate, not DogStatsD"
"apm_config.telemetry.additional_endpoints","false","APM telemetry endpoints, not DogStatsD"
"apm_config.telemetry.dd_url","false","APM telemetry URL, not DogStatsD"
"apm_config.telemetry.enabled","false","APM telemetry toggle, not DogStatsD"
"apm_config.trace_buffer","false","APM trace buffer size, not DogStatsD"
"apm_config.trace_writer.connection_limit","false","APM trace writer conn limit, not DogStatsD"
"apm_config.trace_writer.queue_size","false","APM trace writer queue size, not DogStatsD"
"apm_config.watchdog_check_delay","false","APM watchdog check delay, not DogStatsD"
"apm_config.windows_pipe_buffer_size","false","APM Windows pipe buffer, not DogStatsD"
"apm_config.windows_pipe_name","false","APM Windows pipe name, not DogStatsD"
"apm_config.windows_pipe_security_descriptor","false","APM Windows pipe security, not DogStatsD"
"apm_config.workload_selection","false","APM workload selection, not DogStatsD"
"app_key","false","App key for API reads, not DogStatsD submission"
"appsec.proxy.auto_detect","false","appsec proxy unrelated to DogStatsD"
"appsec.proxy.enabled","false","appsec proxy unrelated to DogStatsD"
"appsec.proxy.processor.address","false","appsec proxy unrelated to DogStatsD"
"appsec.proxy.processor.port","false","appsec proxy unrelated to DogStatsD"
"appsec.proxy.proxies","false","appsec proxy unrelated to DogStatsD"
"auth_init_timeout","false","IPC auth init timeout not DogStatsD-specific"
"auth_token_file_path","true","used for IPC auth to agent for workload metadata"
"auto_exit","false","prefix indicates non-DSD subsystem"
"auto_exit.noprocess","false","prefix indicates non-DSD subsystem"
"auto_exit.noprocess.enabled","false","prefix indicates non-DSD subsystem"
"auto_exit.noprocess.excluded_processes","false","prefix indicates non-DSD subsystem"
"auto_exit.validation_period","false","prefix indicates non-DSD subsystem"
"auto_team_tag_collection","false","team tag discovery for checks not DogStatsD"
"autoconf_config_files_poll","false","prefix indicates non-DSD subsystem"
"autoconf_config_files_poll_interval","false","prefix indicates non-DSD subsystem"
"autoconf_template_dir","false","prefix indicates non-DSD subsystem"
"autoconfig_exclude_features","false","prefix indicates non-DSD subsystem"
"autoconfig_from_environment","false","prefix indicates non-DSD subsystem"
"autoconfig_include_features","false","prefix indicates non-DSD subsystem"
"autoscaling.cluster.enabled","false","prefix indicates non-DSD subsystem"
"autoscaling.failover.enabled","false","prefix indicates non-DSD subsystem"
"autoscaling.failover.metrics","false","prefix indicates non-DSD subsystem"
"autoscaling.workload.enabled","false","prefix indicates non-DSD subsystem"
"autoscaling.workload.external_recommender.tls.ca_file","false","prefix indicates non-DSD subsystem"
"autoscaling.workload.external_recommender.tls.cert_file","false","prefix indicates non-DSD subsystem"
"autoscaling.workload.external_recommender.tls.key_file","false","prefix indicates non-DSD subsystem"
"autoscaling.workload.in_place_vertical_scaling.enabled","false","prefix indicates non-DSD subsystem"
"autoscaling.workload.limit","false","prefix indicates non-DSD subsystem"
"autoscaling.workload.num_workers","false","prefix indicates non-DSD subsystem"
"azure_hostname_style","false","prefix indicates non-DSD subsystem"
"azure_metadata_api_version","false","prefix indicates non-DSD subsystem"
"azure_metadata_timeout","false","prefix indicates non-DSD subsystem"
"basic_telemetry_add_container_tags","false","internal agent telemetry not DogStatsD"
"batch_max_concurrent_send","true","forwarder batching affects metric forwarding"
"batch_max_content_size","true","forwarder batching affects metric payload size"
"batch_max_size","true","forwarder batching affects metric payload size"
"batch_wait","true","forwarder batch wait affects metric send latency"
"bind_host","true","global bind host fallback for DogStatsD listeners"
"bosh_id","false","Cloud Foundry BOSH ID not DogStatsD-related"
"c_core_dump","false","agent crash dump config not DogStatsD"
"c_stacktrace_collection","false","agent stacktrace config not DogStatsD"
"ccm_network_config.enabled","false","system probe network monitoring not DogStatsD"
"cel_workload_exclude","false","CEL workload exclusion not DogStatsD-specific"
"cf_os_hostname_aliasing","false","Cloud Foundry hostname alias not DogStatsD"
"check_cancel_timeout","false","prefix indicates non-DSD subsystem"
"check_runner_utilization_monitor_interval","false","prefix indicates non-DSD subsystem"
"check_runner_utilization_threshold","false","prefix indicates non-DSD subsystem"
"check_runner_utilization_warning_cooldown","false","prefix indicates non-DSD subsystem"
"check_runners","false","prefix indicates non-DSD subsystem"
"check_sampler_allow_sketch_bucket_reset","false","prefix indicates non-DSD subsystem"
"check_sampler_bucket_commits_count_expiry","false","prefix indicates non-DSD subsystem"
"check_sampler_context_metrics","false","prefix indicates non-DSD subsystem"
"check_sampler_expire_metrics","false","prefix indicates non-DSD subsystem"
"check_sampler_stateful_metric_expiration_time","false","prefix indicates non-DSD subsystem"
"check_system_probe_startup_time","false","prefix indicates non-DSD subsystem"
"check_system_probe_timeout","false","prefix indicates non-DSD subsystem"
"check_watchdog_warning_timeout","false","prefix indicates non-DSD subsystem"
"checks_tag_cardinality","false","tag cardinality for checks not DogStatsD"
"clc_runner_enabled","false","prefix indicates non-DSD subsystem"
"clc_runner_host","false","prefix indicates non-DSD subsystem"
"clc_runner_id","false","prefix indicates non-DSD subsystem"
"clc_runner_port","false","prefix indicates non-DSD subsystem"
"clc_runner_remote_tagger_enabled","false","prefix indicates non-DSD subsystem"
"clc_runner_server_readheader_timeout","false","prefix indicates non-DSD subsystem"
"clc_runner_server_write_timeout","false","prefix indicates non-DSD subsystem"
"cloud_foundry","false","prefix indicates non-DSD subsystem"
"cloud_foundry_bbs.ca_file","false","prefix indicates non-DSD subsystem"
"cloud_foundry_bbs.cert_file","false","prefix indicates non-DSD subsystem"
"cloud_foundry_bbs.env_exclude","false","prefix indicates non-DSD subsystem"
"cloud_foundry_bbs.env_include","false","prefix indicates non-DSD subsystem"
"cloud_foundry_bbs.key_file","false","prefix indicates non-DSD subsystem"
"cloud_foundry_bbs.poll_interval","false","prefix indicates non-DSD subsystem"
"cloud_foundry_bbs.url","false","prefix indicates non-DSD subsystem"
"cloud_foundry_buildpack","false","prefix indicates non-DSD subsystem"
"cloud_foundry_cc.apps_batch_size","false","prefix indicates non-DSD subsystem"
"cloud_foundry_cc.client_id","false","prefix indicates non-DSD subsystem"
